t,xj166,xj167,xj168,xj169,xj170,xj178,xj2
407.875,-999.25,-999.25,11264.4531,11407.7188,9221.3271,10785.1387,10721.0352
408,-999.25,-999.25,11319.2813,11665.3066,9517.1543,8682.6533,10187.5576
408.125,-999.25,-999.25,11176.3525,11797.1621,9457.0967,8635.7373,11584.0088
408.25,-999.25,-999.25,11163.2988,11649.8369,9551.3438,10975.0059,10670.124
408.375,-999.25,-999.25,11163.2051,11433.3213,10040.2324,12062.3545,10887.6016
408.5,-999.25,-999.25,11249.3955,11280.666,10805.0186,12365.0039,10918.3545
408.625,-999.25,-999.25,11270.5596,11393.9727,11055.832,12158.3242,11496.1328
408.75,-999.25,-999.25,11161.3086,11476.9375,10693.9287,11993.8037,12357.0322
408.875,-999.25,-999.25,11161.3086,11508.9688,10198.1826,11353.7637,12235.6982
409,-999.25,-999.25,11236.0303,11391.4658,9797.6162,11249.2588,11355.5986
409.125,-999.25,-999.25,11313.502,11273.0703,9849.5244,11234.5586,10770.9033
409.25,-999.25,-999.25,11313.502,11010.4824,10096.5117,11048.3975,10580.5166
409.375,-999.25,-999.25,11193.6475,10968.8945,10150.5439,10999.0684,10952.1162
409.5,-999.25,-999.25,11034.9854,11068.3604,10058.1797,11084.5986,11273.377
409.625,-999.25,-999.25,11002.0605,11106.1162,9869.9355,11046.0625,11677.7031
409.75,-999.25,-999.25,11001.6729,11205.5684,10149.8486,11161.5273,11335.1279
409.875,-999.25,-999.25,11001.6729,11243.3652,10295.4424,11449.8984,10824.9521
410,-999.25,-999.25,11001.6729,11213.4453,10209.7002,11372.9971,10863.71
410.125,-999.25,-999.25,11001.6729,11083.2979,10014.1768,11355.0801,11520.2188
410.25,-999.25,-999.25,11001.6729,10872.1289,10035.7588,11405.8467,11324.2451
410.375,-999.25,-999.25,11001.6729,10824.6924,10156.9902,11270.9873,10727.0967
410.5,-999.25,-999.25,11106.8027,10901.333,10044.7764,11243.46,10783.5781
410.625,-999.25,-999.25,11273.6309,10866.834,9989.2129,11235.4414,13406.208
410.75,-999.25,-999.25,11306.8213,10898.8096,10592.3281,11100.8008,12567.915
410.875,-999.25,-999.25,11198.752,11003.5361,10367.0752,10778.4912,11906.8848
411,-999.25,-999.25,11151.2842,11134.0039,10116.1504,10736.667,11708.7002
411.125,-999.25,-999.25,11150.7139,11300.8301,9967.7754,10704.9756,10661.4697
411.25,-999.25,-999.25,11149.9355,11374.7783,9784.2666,10291.8555,10494.3379
411.375,-999.25,-999.25,11144.7881,11268.5156,10088.0225,8676.6064,11016.7852
411.5,-999.25,-999.25,10996.0283,11113.1895,10581.1992,7697.2783,11377.0244
411.625,-999.25,-999.25,10996.0283,10816.8154,10423.6992,8444.7266,11814.8115
411.75,-999.25,-999.25,11021.292,10814.627,10788.9287,10695.8857,11944.5371
411.875,-999.25,-999.25,11147.0918,10920.71,11036.2568,11392.6699,12158.8916
412,-999.25,-999.25,11146.8545,10985.9043,10966.7725,11778.6582,11913.3447
412.125,-999.25,-999.25,11145.1982,11155.6729,10750.8516,11301.3779,11886.2383
412.25,-999.25,-999.25,11145.1982,11157.3896,10245.8828,10893.4053,11210.2012
412.375,-999.25,11045.4316,11144.6768,11170.1484,10028.9014,10650.6836,11149.9355
412.5,-999.25,10939.0059,11144.251,11363.2461,10152.8613,10434.5752,11244.4473
412.625,-999.25,10915.1992,11143.8789,11434.6162,10171.6631,10231.4268,11099.4355
412.75,-999.25,10199.3936,11143.3037,10826.2383,10172.5918,10052.666,11095.3379
412.875,-999.25,9944.9004,11142.3623,7669.4829,10234.2881,10052.666,11061.6289
413,-999.25,10063.5996,11142.3564,5113.2671,10232.0049,9950.8672,11453.1104
413.125,-999.25,9185.8496,11108.625,3867.7019,10020.1016,9924.8008,11705.4189
413.25,-999.25,9935.374,10988.501,3118.7737,9688.7266,9923.793,11239.1104
413.375,-999.25,10892.8672,11134.5264,2694.2471,9964.0303,9923.2852,10844.8438
413.5,-999.25,10948.9248,11140.4619,2422.5801,10270.5469,10052.1748,10806.5322
413.625,-999.25,10949.668,11139.7441,2348.6509,10111.2949,9974.2783,11250.8555
